seed,query_index,query_id,affected_by_drift,old_policy_correct,old_policy_action,adapted_policy_correct,adapted_policy_action,full_retrain_policy_correct,full_retrain_policy_action
0,81,doc-q-081,True,0,0,1,1,1,1
0,82,doc-q-082,True,0,0,1,1,1,1
0,83,doc-q-083,True,0,0,1,1,1,1
0,84,doc-q-084,True,0,0,1,1,1,1
0,85,doc-q-085,True,0,0,1,1,1,1
0,86,doc-q-086,True,0,0,1,1,1,1
0,87,doc-q-087,True,0,0,1,1,1,1
0,88,doc-q-088,False,1,0,1,0,1,0
0,89,doc-q-089,False,1,0,1,1,1,0
0,90,doc-q-090,False,1,0,1,0,1,0
0,91,doc-q-091,False,1,0,1,1,1,1
0,92,doc-q-092,True,0,0,1,1,1,1
0,93,doc-q-093,False,1,0,0,1,1,0
0,94,doc-q-094,False,1,0,1,0,1,0
0,95,doc-q-095,False,1,0,1,1,1,1
0,96,doc-q-096,True,0,0,1,1,1,1
0,97,doc-q-097,False,1,0,1,0,1,0
0,98,doc-q-098,False,1,0,1,1,1,0
0,99,doc-q-099,False,1,0,1,0,1,0
0,100,doc-q-100,True,0,0,1,1,1,1
0,101,doc-q-101,True,0,0,0,1,0,1
0,102,doc-q-102,True,0,0,0,0,0,1
0,103,doc-q-103,True,0,0,0,1,0,1
0,104,doc-q-104,False,1,0,1,0,1,0
0,105,doc-q-105,True,0,0,1,1,1,1
0,106,doc-q-106,False,1,0,1,0,1,0
0,107,doc-q-107,True,0,0,1,1,1,1
0,108,doc-q-108,False,1,0,1,1,1,1
0,109,doc-q-109,True,0,0,1,1,1,1
0,110,doc-q-110,False,1,0,1,1,1,0
0,111,doc-q-111,True,0,0,1,1,1,1
0,112,doc-q-112,False,1,0,1,1,1,1
0,113,doc-q-113,False,1,0,0,1,0,1
0,114,doc-q-114,False,1,0,1,1,1,1
0,115,doc-q-115,True,0,0,1,1,1,1
0,116,doc-q-116,False,1,0,0,1,0,1
0,117,doc-q-117,False,1,0,1,1,1,0
0,118,doc-q-118,True,0,0,1,1,1,1
0,119,doc-q-119,False,1,0,1,0,1,0
0,120,doc-q-120,True,0,0,1,1,1,1
0,121,doc-q-121,False,1,0,0,1,0,1
0,122,doc-q-122,True,0,0,1,1,1,1
0,123,doc-q-123,False,1,0,1,0,1,0
0,124,doc-q-124,True,0,0,1,1,1,1
0,125,doc-q-125,False,1,0,1,0,1,0
0,126,doc-q-126,True,0,0,1,1,1,1
0,127,doc-q-127,False,1,0,1,0,1,0
0,128,doc-q-128,True,0,0,1,1,1,1
0,129,doc-q-129,True,0,0,1,1,1,1
0,130,doc-q-130,False,1,0,1,0,1,0
0,131,doc-q-131,False,1,0,1,1,1,1
0,132,doc-q-132,True,0,0,1,1,1,1
0,133,doc-q-133,False,1,0,1,0,1,0
0,134,doc-q-134,True,0,0,0,1,0,0
0,135,doc-q-135,False,1,0,1,0,1,0
0,136,doc-q-136,True,0,0,1,1,1,1
0,137,doc-q-137,True,0,0,1,1,1,1
0,138,doc-q-138,False,1,0,1,1,1,1
0,139,doc-q-139,False,1,0,1,1,1,1
0,140,doc-q-140,False,1,0,1,0,1,0
0,141,doc-q-141,True,0,0,1,1,1,1
0,142,doc-q-142,True,0,0,1,1,1,1
0,143,doc-q-143,False,1,0,1,1,1,0
0,144,doc-q-144,False,1,0,1,1,1,0
0,145,doc-q-145,False,1,0,1,1,1,0
0,146,doc-q-146,True,0,0,1,1,1,1
0,147,doc-q-147,True,0,0,1,1,1,1
0,148,doc-q-148,True,0,0,1,1,1,1
0,149,doc-q-149,False,1,0,1,1,1,1
0,150,doc-q-150,False,1,0,0,1,1,0
0,151,doc-q-151,False,1,0,1,1,1,0
0,152,doc-q-152,True,0,0,1,1,1,1
0,153,doc-q-153,True,0,0,0,0,0,0
0,154,doc-q-154,True,0,0,1,1,1,1
0,155,doc-q-155,True,0,0,1,1,1,1
0,156,doc-q-156,False,1,0,1,1,1,1
